Ticker,Company_Name,Sector,Market_Cap_B_USD,PE_Ratio,Beta_Risk,Dividend_Yield_Pct,Return_1Y_Pct,Volatility_30D_Pct,Debt_To_Equity_Ratio,ESG_Risk_Score
AAPL,"AAPL Holdings Inc.",Communication,5,9.4,0.95,1.87,-21.9,14.1,0.75,20.3
MSFT,"MSFT Holdings Inc.",Energy,5,19.1,0.88,3.03,-17.2,21.5,1.39,19.9
GOOGL,"GOOGL Holdings Inc.",Healthcare,172.5,48.9,1.24,0,42.5,24.7,1.09,15.9
AMZN,"AMZN Holdings Inc.",Consumer Cyclical,254.2,6,0.3,2.46,8.2,14.9,2.16,21.9
NVDA,"NVDA Holdings Inc.",Healthcare,5,36.9,0.69,0,2.5,32.1,1.05,11.9
JNJ,"JNJ Holdings Inc.",Consumer Cyclical,415.1,6,1.43,3.15,16.2,26.6,1.81,22.8
PFE,"PFE Holdings Inc.",Healthcare,152.6,32.4,0.58,0.7,15.8,21.8,2.57,15.9
UNH,"UNH Holdings Inc.",Energy,55.2,14.8,0.85,3.31,22.3,12.4,1.81,20
JPM,"JPM Holdings Inc.",Energy,83.5,16.2,0.65,0.53,-22.6,12,0.52,26.2
BAC,"BAC Holdings Inc.",Financial Services,206.4,29.7,0.5,1.46,-1.5,21.9,1.77,18.8
XOM,"XOM Holdings Inc.",Technology,105.9,26.9,0.83,0,-5.8,27,1.98,14.9
CVX,"CVX Holdings Inc.",Healthcare,47.5,6,0.99,2.86,29.9,8,1.97,17.4
TSLA,"TSLA Holdings Inc.",Financial Services,380.7,20.8,0.5,0.73,-16.4,25.9,1.36,21.6
HD,"HD Holdings Inc.",Healthcare,49.8,29.1,1.64,4.25,16.3,18.4,1.67,24.9
CAT,"CAT Holdings Inc.",Industrials,5,45.6,0.68,0.97,12,27.2,1.98,21.9
DIS,"DIS Holdings Inc.",Communication,615.7,30,1.34,0.7,3.4,13.7,0.64,23
NFLX,"NFLX Holdings Inc.",Financial Services,104.9,48.6,0.33,2.07,23.5,10.7,1.44,15.1
