Employee_ID,Department,Job_Role,Salary_USD,Age,Experience_Years,Performance_Score,Overtime,Work_Life_Balance,Commute_Distance_KM,Job_Satisfaction_Score,Left_Company
EMP-0001,Engineering,"Data Engineer",134743,36,7,3,No,Poor,20,6,No
EMP-0002,Engineering,"Backend Engineer",131603,36,8,3,Yes,Poor,21,3,No
EMP-0003,Operations,"Operations Lead",105686,24,1,2,Yes,Fair,33,3,Yes
EMP-0004,Sales,"Sales Representative",86927,25,1,3,Yes,Excellent,7,6,No
EMP-0005,Finance,"Accountant",80617,27,1,4,No,Poor,2,2,No
EMP-0006,Marketing,"Content Strategist",89537,33,4,2,No,Fair,14,7,No
EMP-0007,Sales,"BDR",123633,33,8,5,No,Poor,14,6,No
EMP-0008,Operations,"Operations Lead",138641,36,11,4,Yes,Fair,2,5,Yes
EMP-0009,Finance,"Financial Analyst",131148,33,10,2,No,Excellent,51,7,No
EMP-0010,Finance,"Finance Director",146121,27,2,2,No,Excellent,25,7,No
EMP-0011,Sales,"BDR",135213,36,9,3,No,Fair,14,7,Yes
EMP-0012,Sales,"Sales Director",144456,35,8,4,Yes,Excellent,1,4,No
EMP-0013,Finance,"Financial Analyst",114279,32,4,4,No,Excellent,21,7,Yes
EMP-0014,Operations,"Operations Lead",139849,30,8,3,Yes,Fair,15,6,Yes
EMP-0015,Operations,"Logistics Coordinator",110618,38,9,3,No,Poor,4,6,No
EMP-0016,Operations,"Logistics Coordinator",77611,29,6,3,No,Fair,8,6,No
EMP-0017,Finance,"Accountant",83689,30,1,4,No,Fair,1,7,No
EMP-0018,Sales,"Account Executive",122912,38,10,3,No,Excellent,8,7,No
EMP-0019,Finance,"Financial Analyst",101067,25,2,2,No,Poor,21,4,Yes
EMP-0020,Sales,"BDR",112667,32,6,2,No,Poor,7,4,Yes
EMP-0021,Operations,"Support Manager",147897,33,9,3,Yes,Excellent,11,7,Yes
EMP-0022,Engineering,"Data Engineer",136203,28,6,3,No,Excellent,25,8,No
EMP-0023,Operations,"Support Manager",146237,33,9,3,No,Fair,23,8,No
EMP-0024,Engineering,"Data Engineer",101052,24,1,3,No,Fair,15,6,No
EMP-0025,Sales,"Sales Director",122821,25,1,3,No,Poor,20,5,No
EMP-0026,Marketing,"Content Strategist",68310,30,1,2,No,Good,10,7,No
EMP-0027,Engineering,"Engineering Manager",158573,30,3,2,No,Excellent,13,7,No
