Account_ID,Customer_Segment,Plan_Tier,Monthly_Charges_USD,Tenure_Months,Total_Charges_USD,Support_Tickets,Login_Frequency_Weekly,Storage_Used_GB,Contract_Type,Churned
ACC-0001,SMB,Custom Elite,572.24,5,2432.02,3,15,134.8,Two-Year,No
ACC-0002,SMB,Professional,90.27,6,460.38,0,17,151.3,Two-Year,No
ACC-0003,Startup,Professional,136.02,23,2878.18,5,3,63,One-Year,No
ACC-0004,Startup,Professional,141.39,19,2283.45,3,4,15.1,Two-Year,Yes
ACC-0005,Mid-Market,Custom Elite,698.81,7,4157.92,3,14,5,Two-Year,No
ACC-0006,SMB,Custom Elite,1057.22,37,35987.77,0,21,30,One-Year,No
ACC-0007,Enterprise,Enterprise,451.71,31,11902.56,5,11,98.7,Two-Year,No
ACC-0008,Enterprise,Custom Elite,764.37,14,10701.18,0,3,146.4,Month-to-Month,No
ACC-0009,SMB,Starter,37.45,28,964.71,2,16,5,One-Year,No
ACC-0010,Mid-Market,Custom Elite,914.51,40,31093.34,8,11,239.7,Two-Year,Yes
ACC-0011,Startup,Starter,69.79,17,1091.52,2,3,162.5,One-Year,No
ACC-0012,Startup,Starter,64.55,7,384.07,1,12,31.6,Two-Year,No
ACC-0013,Enterprise,Enterprise,413.88,40,16555.2,1,12,15.8,Month-to-Month,No
ACC-0014,SMB,Enterprise,484.14,8,3563.27,0,20,106.7,One-Year,Yes
ACC-0015,Startup,Professional,132.42,25,3310.5,0,13,162.4,Month-to-Month,No
ACC-0016,Startup,Starter,55.06,19,962.45,2,14,62.9,One-Year,No
ACC-0017,Startup,Starter,48.03,39,1592.19,7,1,199.5,Two-Year,Yes
ACC-0018,SMB,Starter,42.57,17,615.14,1,6,239.9,Two-Year,No
ACC-0019,Startup,Professional,90.18,16,1327.45,3,20,131.3,One-Year,No
ACC-0020,Mid-Market,Starter,48.84,42,2051.28,8,23,5,Month-to-Month,Yes
ACC-0021,Startup,Professional,118.14,33,3898.62,0,21,345,Month-to-Month,No
ACC-0022,Startup,Professional,162.94,23,3447.81,3,10,198.1,One-Year,No
ACC-0023,Enterprise,Enterprise,343.63,29,8470.48,2,23,157.6,Two-Year,No
ACC-0024,Enterprise,Enterprise,287.63,1,244.49,7,4,185,Two-Year,No
ACC-0025,Startup,Starter,32.69,40,1307.6,4,8,57.6,Month-to-Month,No
ACC-0026,SMB,Professional,118.68,37,4039.87,0,22,172.5,One-Year,No
ACC-0027,Mid-Market,Custom Elite,831.56,43,30393.52,3,17,153.2,Two-Year,No
ACC-0028,SMB,Starter,43.79,25,1094.75,1,9,155,Month-to-Month,No
ACC-0029,Startup,Professional,125.2,48,5108.16,0,27,47.8,Two-Year,No
ACC-0030,Enterprise,Custom Elite,668.09,12,8017.08,2,11,46.4,Month-to-Month,Yes
ACC-0031,Mid-Market,Starter,47.89,37,1771.93,0,9,198.9,Month-to-Month,No
ACC-0032,SMB,Professional,125.44,23,2654.31,2,7,74.2,One-Year,No
ACC-0033,Enterprise,Enterprise,466.88,31,12302.29,7,17,189.3,Two-Year,No
ACC-0034,SMB,Starter,48.66,45,2189.7,0,29,168.4,Month-to-Month,No
